scienceRule,dtReceived,commentsUnique,commentsAll,docketsUnique,unq_per_dkts,all_per_dkts
0.0,2020-01-01,2,2,2,1.0,1.0
0.0,2020-01-02,20,20,5,4.0,4.0
0.0,2020-01-03,14,14,10,1.4,1.4
0.0,2020-01-04,3,3,2,1.5,1.5
0.0,2020-01-06,12,12,10,1.2,1.2
0.0,2020-01-07,5,5,5,1.0,1.0
0.0,2020-01-08,23,23,5,4.6,4.6
0.0,2020-01-09,9,9,4,2.25,2.25
0.0,2020-01-10,16,16,9,1.7777777777777777,1.7777777777777777
0.0,2020-01-11,8,8,5,1.6,1.6
0.0,2020-01-12,27,27,9,3.0,3.0
0.0,2020-01-13,44,44,13,3.3846153846153846,3.3846153846153846
0.0,2020-01-14,17,17,9,1.8888888888888888,1.8888888888888888
0.0,2020-01-15,10,6206,5,2.0,1241.2
0.0,2020-01-16,16,16,8,2.0,2.0
0.0,2020-01-17,27,36,10,2.7,3.6
0.0,2020-01-18,20,20,6,3.3333333333333335,3.3333333333333335
0.0,2020-01-19,9,9,5,1.8,1.8
0.0,2020-01-20,34,34,7,4.857142857142857,4.857142857142857
0.0,2020-01-21,106,29869,11,9.636363636363637,2715.3636363636365
0.0,2020-01-22,28,28,9,3.111111111111111,3.111111111111111
0.0,2020-01-23,21,21,7,3.0,3.0
0.0,2020-01-24,11,12610,6,1.8333333333333333,2101.6666666666665
0.0,2020-01-25,4,4,4,1.0,1.0
0.0,2020-01-26,9,9,4,2.25,2.25
0.0,2020-01-27,35,35,12,2.9166666666666665,2.9166666666666665
0.0,2020-01-28,52,52,8,6.5,6.5
0.0,2020-01-29,51,73,14,3.642857142857143,5.214285714285714
0.0,2020-01-30,53,13477,10,5.3,1347.7
0.0,2020-01-31,72,64238,14,5.142857142857143,4588.428571428572
0.0,2020-02-01,10,10,8,1.25,1.25
0.0,2020-02-02,11,11,5,2.2,2.2
0.0,2020-02-03,51,115,10,5.1,11.5
0.0,2020-02-04,21,165,8,2.625,20.625
0.0,2020-02-05,17,17,8,2.125,2.125
0.0,2020-02-06,22,22,9,2.4444444444444446,2.4444444444444446
0.0,2020-02-07,37,279,16,2.3125,17.4375
0.0,2020-02-08,30,190,9,3.3333333333333335,21.11111111111111
0.0,2020-02-09,19,19,5,3.8,3.8
0.0,2020-02-10,93,37801,12,7.75,3150.0833333333335
0.0,2020-02-11,106,207,11,9.636363636363637,18.818181818181817
0.0,2020-02-12,285,22991,16,17.8125,1436.9375
0.0,2020-02-13,107,107,12,8.916666666666666,8.916666666666666
0.0,2020-02-14,158,371,11,14.363636363636363,33.72727272727273
0.0,2020-02-15,47,47,5,9.4,9.4
0.0,2020-02-16,31,31,4,7.75,7.75
0.0,2020-02-17,41,41,5,8.2,8.2
0.0,2020-02-18,141,10665,10,14.1,1066.5
0.0,2020-02-19,45,54,11,4.090909090909091,4.909090909090909
0.0,2020-02-20,86,86,7,12.285714285714286,12.285714285714286
0.0,2020-02-21,86,5097,7,12.285714285714286,728.1428571428571
0.0,2020-02-23,3,3,2,1.5,1.5
0.0,2020-02-24,11,11,7,1.5714285714285714,1.5714285714285714
0.0,2020-02-25,6,6,5,1.2,1.2
0.0,2020-02-26,1,1,1,1.0,1.0
0.0,2020-02-27,3,3,3,1.0,1.0
0.0,2020-02-28,5,5,1,5.0,5.0
0.0,2020-02-29,2,2,2,1.0,1.0
0.0,2020-03-01,2,2,2,1.0,1.0
0.0,2020-03-02,6,6,6,1.0,1.0
0.0,2020-03-03,5,5,4,1.25,1.25
0.0,2020-03-04,6,6,5,1.2,1.2
0.0,2020-03-05,7,7,4,1.75,1.75
0.0,2020-03-06,6,6,4,1.5,1.5
0.0,2020-03-08,1,1,1,1.0,1.0
0.0,2020-03-09,5,5,5,1.0,1.0
0.0,2020-03-10,6,81,5,1.2,16.2
0.0,2020-03-11,9,9,4,2.25,2.25
0.0,2020-03-12,2,2,2,1.0,1.0
0.0,2020-03-15,2,2,1,2.0,2.0
0.0,2020-03-16,21,21,6,3.5,3.5
0.0,2020-03-17,17,17,4,4.25,4.25
0.0,2020-03-18,7,7,1,7.0,7.0
0.0,2020-03-19,367,367,4,91.75,91.75
0.0,2020-03-20,211,211,6,35.166666666666664,35.166666666666664
0.0,2020-03-21,54,54,2,27.0,27.0
0.0,2020-03-22,16,16,2,8.0,8.0
0.0,2020-03-23,43,43,8,5.375,5.375
0.0,2020-03-24,9,9,4,2.25,2.25
0.0,2020-03-25,13,13,6,2.1666666666666665,2.1666666666666665
0.0,2020-03-26,7,7,3,2.3333333333333335,2.3333333333333335
0.0,2020-03-27,4,4,4,1.0,1.0
0.0,2020-03-29,3,3,3,1.0,1.0
0.0,2020-03-30,5,5,4,1.25,1.25
0.0,2020-03-31,2,2,2,1.0,1.0
0.0,2020-04-01,7,7,6,1.1666666666666667,1.1666666666666667
0.0,2020-04-02,5,5,2,2.5,2.5
0.0,2020-04-03,6,6,6,1.0,1.0
0.0,2020-04-04,5,5,5,1.0,1.0
0.0,2020-04-05,3,3,3,1.0,1.0
0.0,2020-04-06,17,17,5,3.4,3.4
0.0,2020-04-07,11,11,3,3.6666666666666665,3.6666666666666665
0.0,2020-04-08,5,5,4,1.25,1.25
0.0,2020-04-09,6,6,2,3.0,3.0
0.0,2020-04-10,2,2,1,2.0,2.0
0.0,2020-04-11,1,1,1,1.0,1.0
0.0,2020-04-12,1,1,1,1.0,1.0
0.0,2020-04-13,11,11,8,1.375,1.375
0.0,2020-04-14,13,13,10,1.3,1.3
0.0,2020-04-15,15,15,8,1.875,1.875
0.0,2020-04-16,52,52,9,5.777777777777778,5.777777777777778
0.0,2020-04-17,88,37208,8,11.0,4651.0
0.0,2020-04-18,3,3,3,1.0,1.0
0.0,2020-04-19,8,8,4,2.0,2.0
0.0,2020-04-20,33,33,5,6.6,6.6
0.0,2020-04-21,2,36982,2,1.0,18491.0
0.0,2020-04-22,18,18,7,2.5714285714285716,2.5714285714285716
0.0,2020-04-23,8,8,2,4.0,4.0
0.0,2020-04-24,1,1,1,1.0,1.0
0.0,2020-04-26,3,3,3,1.0,1.0
0.0,2020-04-27,10,10,5,2.0,2.0
0.0,2020-04-28,7,7,2,3.5,3.5
0.0,2020-04-29,5,5,3,1.6666666666666667,1.6666666666666667
0.0,2020-04-30,5,5,5,1.0,1.0
0.0,2020-05-01,8,8,6,1.3333333333333333,1.3333333333333333
0.0,2020-05-02,3,3,2,1.5,1.5
0.0,2020-05-03,2,2,2,1.0,1.0
0.0,2020-05-04,8,8,5,1.6,1.6
0.0,2020-05-05,18,18,5,3.6,3.6
0.0,2020-05-06,35,35,4,8.75,8.75
0.0,2020-05-07,34,34,4,8.5,8.5
0.0,2020-05-08,69,69,7,9.857142857142858,9.857142857142858
0.0,2020-05-09,12,12,4,3.0,3.0
0.0,2020-05-10,9,9,3,3.0,3.0
0.0,2020-05-11,18,18,5,3.6,3.6
